product_id,category,subcategory,material,color,size,season,style,price_usd,discount_percent,rating,review_count,stock_quantity,units_sold,return_rate
WC000047,Dresses,Mini Dress,Cotton Blend,Black,M,Spring,Casual,64.29,0,3.4,21,35,409,0.2
WC000048,Sweaters,Oversized Sweater,Wool,White,M,Winter,Formal,56.42,0,4.1,1,10,114,0.09
WC000049,Activewear,Sports Bra,Nylon,Black,XL,Autumn,Sporty,51.47,0,4.1,8,67,98,0.07
WC000050,Jackets,Denim Jacket,Polyester,Navy,M,All Season,Streetwear,64.64,0,2.6,2,4,83,0.14
WC000051,Sweaters,Crewneck Sweater,Polyester Blend,White,M,Winter,Formal,72.79,5,3.6,2,0,145,0.07
WC000052,Trousers,Straight Trousers,Polyester,White,XL,All Season,Formal,44.95,15,4.1,4,73,71,0.12
WC000053,Tops,Crop Top,Cotton Blend,Black,S,Summer,Elegant,30.92,25,4.0,20,18,412,0.08
WC000054,T-Shirts,V-Neck T-Shirt,Cotton,Beige,M,Summer,Casual,13.53,0,0.0,0,52,1,0.07
WC000055,Loungewear,Sweatpants,Linen,Green,L,Summer,Casual,40.92,0,4.2,36,57,468,0.08
WC000056,Activewear,Track Pants,Nylon,Navy,L,All Season,Sporty,52.39,0,5.0,1,50,26,0.12
WC000057,Sets,Skirt Set,Cotton,Beige,S,Autumn,Bohemian,103.39,0,4.7,20,35,1095,0.12
WC000058,T-Shirts,Graphic T-Shirt,Cotton Blend,Black,M,Spring,Casual,21.76,15,4.1,1,4,14,0.12
WC000059,Tops,Tank Top,Cotton,White,S,All Season,Streetwear,16.64,0,4.7,14,100,176,0.08
WC000060,T-Shirts,Graphic T-Shirt,Cotton,Black,XL,Summer,Casual,25.29,0,0.0,0,14,1,0.08
WC000061,Tops,Crop Top,Cotton Blend,Black,XXL,Spring,Bohemian,27.44,0,4.3,3,2,54,0.07
WC000062,Loungewear,Lounge Set,Cotton,Black,M,Autumn,Casual,23.29,20,2.6,26,20,525,0.13
WC000063,Tops,Tank Top,Cotton,Red,S,Autumn,Elegant,36.96,20,4.8,2,11,44,0.1
WC000064,Sweaters,Knit Sweater,Cotton,Black,L,Winter,Formal,92.81,50,4.5,51,115,532,0.09
WC000065,Jeans,Straight Jeans,Denim,Black,S,Autumn,Minimalist,91.35,10,4.4,8,16,132,0.13
WC000066,Dresses,Wrap Dress,Viscose,Beige,M,Summer,Minimalist,59.45,30,4.4,2,26,31,0.16
WC000067,Trousers,Cargo Pants,Linen,Gray,L,Summer,Business Casual,44.12,20,4.4,1,0,67,0.12
WC000068,Dresses,Wrap Dress,Polyester,Black,M,Summer,Bohemian,50.64,0,4.8,5,43,80,0.16
WC000069,Trousers,Tailored Trousers,Cotton Blend,Beige,M,All Season,Business Casual,34.97,10,0.0,0,17,23,0.08
WC000070,Sweaters,Turtleneck,Wool,Yellow,S,Winter,Formal,37.3,0,0.0,0,2,6,0.1
WC000071,Jeans,Straight Jeans,Denim,White,M,Spring,Casual,79.34,10,0.0,0,0,17,0.1
WC000072,Dresses,Shirt Dress,Cotton,Brown,S,Summer,Casual,74.6,0,4.4,2,65,48,0.15
WC000073,Activewear,Leggings,Polyester Blend,Blue,L,Spring,Sporty,76.64,0,4.7,9,1,136,0.08
WC000074,Jumpsuits,Evening Jumpsuit,Polyester,Red,L,Winter,Streetwear,64.58,5,3.4,4,32,69,0.18
WC000075,Skirts,Midi Skirt,Cotton Blend,Black,M,Spring,Bohemian,59.54,0,4.4,30,0,455,0.12
WC000076,Dresses,Shirt Dress,Linen,Brown,L,All Season,Bohemian,40.56,0,5.0,2,12,207,0.11
WC000077,Jeans,Bootcut Jeans,Denim,White,S,Summer,Bohemian,80.09,10,0.0,0,0,22,0.11
WC000078,Jeans,Bootcut Jeans,Denim,Brown,L,Autumn,Bohemian,59.23,25,4.6,4,7,62,0.12
WC000079,Sets,Lounge Set,Cotton,Pink,S,Autumn,Formal,76.57,0,4.9,3,29,118,0.1
WC000080,Blouses,Peplum Blouse,Cotton Blend,Gray,S,Autumn,Formal,53.9,15,4.9,2,12,50,0.06
WC000081,Activewear,Sports Bra,Polyester Blend,Gray,M,Autumn,Sporty,36.88,0,3.8,5,4,58,0.13
WC000082,Dresses,Shirt Dress,Polyester,Blue,L,Summer,Business Casual,116.45,15,4.2,10,6,326,0.12
WC000083,Tops,Tank Top,Cotton Blend,Blue,L,All Season,Business Casual,43.84,0,4.6,2,0,24,0.11
WC000084,Blouses,Wrap Blouse,Cotton,Blue,XXL,Spring,Minimalist,35.07,0,4.3,1,0,39,0.12
WC000085,Jeans,Wide-Leg Jeans,Cotton Blend,Black,XL,Winter,Formal,115.57,0,4.8,8,2,168,0.16
WC000086,Cardigans,Button-up Cardigan,Polyester Blend,Gray,S,All Season,Bohemian,31.48,0,3.0,3,45,44,0.14
WC000087,Cardigans,Long Cardigan,Cotton,Green,M,All Season,Minimalist,47.9,20,0.0,0,81,21,0.06
WC000088,T-Shirts,V-Neck T-Shirt,Cotton,Blue,M,Summer,Casual,34.63,0,3.8,14,1,163,0.09
WC000089,Loungewear,Sleep Shirt,Polyester Blend,Black,XL,All Season,Casual,27.68,0,4.5,1,137,20,0.09
WC000090,Dresses,Mini Dress,Viscose,White,M,Spring,Bohemian,36.42,10,3.8,1,0,40,0.11
WC000091,Jeans,Straight Jeans,Cotton Blend,Gray,L,Spring,Casual,96.69,30,3.8,23,4,315,0.1
WC000092,Skirts,Pleated Skirt,Cotton Blend,Blue,XS,Winter,Casual,45.89,0,3.6,4,33,105,0.12
WC000093,Tops,Long Sleeve Top,Cotton Blend,Yellow,S,Autumn,Elegant,39.41,10,4.4,2,117,38,0.11
WC000094,Jackets,Bomber Jacket,Leather,Green,M,All Season,Business Casual,109.82,0,5.0,1,35,42,0.09
WC000095,Jackets,Bomber Jacket,Polyester,White,S,All Season,Casual,49.58,0,0.0,0,42,27,0.1
WC000096,Skirts,Pleated Skirt,Cotton,Gray,XS,Spring,Streetwear,43.13,25,4.7,13,16,276,0.13
WC000097,Dresses,Mini Dress,Linen,Blue,XS,Summer,Bohemian,134.94,30,0.0,0,97,5,0.14
WC000098,Jackets,Bomber Jacket,Leather,Red,M,Spring,Business Casual,80.43,40,0.0,0,77,32,0.08
WC000099,Loungewear,Sleep Shirt,Linen,Blue,L,Summer,Casual,60.5,0,4.0,2,35,262,0.09
WC000100,Tops,Long Sleeve Top,Cotton,Black,S,Summer,Minimalist,25.11,20,0.0,0,49,6,0.07
WC000101,Dresses,Shirt Dress,Polyester,Navy,L,Winter,Bohemian,116.42,10,4.0,1,2,30,0.12
WC000102,Tops,Long Sleeve Top,Cotton,Navy,XS,Summer,Bohemian,44.6,40,0.0,0,121,37,0.12
WC000103,Trousers,Cargo Pants,Linen,White,M,Summer,Formal,66.9,15,3.6,15,3,156,0.09
WC000104,Loungewear,Lounge Set,Cotton,Gray,XXL,Autumn,Casual,54.16,0,4.4,14,1,231,0.11
WC000105,Coats,Puffer Coat,Polyester Blend,Pink,L,Winter,Elegant,182.52,50,4.0,29,33,369,0.12
WC000106,Jeans,Straight Jeans,Cotton Blend,Beige,XL,All Season,Casual,52.2,25,0.0,0,15,7,0.14
WC000107,Sweaters,Crewneck Sweater,Wool,Beige,S,Winter,Bohemian,29.85,10,0.0,0,41,15,0.1
WC000108,Sweaters,Oversized Sweater,Wool,Navy,XS,Winter,Bohemian,39.89,5,3.2,2,31,45,0.17
WC000109,Skirts,Mini Skirt,Cotton,Black,L,Winter,Streetwear,32.17,30,4.0,1,11,22,0.08
WC000110,Activewear,Track Pants,Polyester,Black,L,Summer,Sporty,36.36,0,4.1,3,8,44,0.11
WC000111,Dresses,Midi Dress,Cotton,Brown,M,Spring,Bohemian,34.34,10,4.5,5,86,71,0.11
WC000112,Jackets,Leather Jacket,Denim,Brown,L,Spring,Casual,126.96,0,4.9,2,4,35,0.09
WC000113,Sweaters,Crewneck Sweater,Wool,Green,M,Winter,Elegant,36.62,10,5.0,7,19,254,0.09
WC000114,Cardigans,Button-up Cardigan,Linen,Gray,M,Summer,Casual,82.28,50,5.0,6,3,192,0.12
WC000115,Tops,Bodysuit,Cotton,White,L,All Season,Casual,39.96,15,3.8,2,35,83,0.08
WC000116,Trousers,Straight Trousers,Viscose,Purple,L,Spring,Formal,68.14,0,4.3,1,40,15,0.07
WC000117,Jeans,Straight Jeans,Denim,Red,M,Winter,Bohemian,63.24,0,4.7,1,3,17,0.16
WC000118,Loungewear,Sweatpants,Cotton Blend,Red,L,Winter,Casual,35.16,0,4.1,1,32,18,0.09
WC000119,Trousers,Tailored Trousers,Cotton Blend,Black,L,Spring,Business Casual,53.46,5,2.8,14,44,216,0.17
WC000120,Tops,Long Sleeve Top,Cotton,Black,M,Summer,Business Casual,35.85,0,4.3,4,5,58,0.12
WC000121,Skirts,Midi Skirt,Cotton Blend,Pink,M,Autumn,Casual,61.26,15,3.6,3,10,56,0.11
WC000122,Tops,Bodysuit,Cotton,Navy,M,Winter,Streetwear,34.22,0,4.9,12,2,542,0.09
WC000123,Dresses,Maxi Dress,Cotton Blend,Blue,S,Autumn,Casual,44.22,0,4.0,1,2,21,0.17
WC000124,Activewear,Track Pants,Nylon,Black,L,Summer,Sporty,27.84,25,0.0,0,21,8,0.11
WC000125,T-Shirts,Basic T-Shirt,Cotton,Black,M,Spring,Casual,25.39,15,3.3,1,71,43,0.13
WC000126,Dresses,Wrap Dress,Polyester,White,L,All Season,Bohemian,56.6,0,4.0,5,42,257,0.14
WC000127,Activewear,Sports Bra,Polyester,Green,XXL,Spring,Sporty,59.52,30,4.1,13,106,162,0.11
WC000128,Activewear,Track Pants,Polyester,Green,L,Spring,Sporty,24.0,5,0.0,0,53,31,0.11
WC000129,Dresses,Mini Dress,Cotton Blend,Gray,L,Autumn,Casual,125.65,15,0.0,0,59,8,0.11
WC000130,Tops,Tank Top,Cotton,Pink,XS,Summer,Elegant,20.97,5,3.8,1,149,12,0.06
WC000131,Blouses,Wrap Blouse,Cotton,Yellow,M,Summer,Formal,62.34,0,5.0,15,55,158,0.11
WC000132,Tops,Long Sleeve Top,Cotton,Blue,XS,Autumn,Elegant,33.82,10,3.9,84,8,892,0.11
WC000133,Blouses,Wrap Blouse,Cotton Blend,Pink,XL,Summer,Business Casual,50.2,0,4.7,2,42,33,0.1
WC000134,Cardigans,Cropped Cardigan,Linen,Gray,S,Spring,Bohemian,90.93,0,4.5,9,31,164,0.1
WC000135,Blouses,Peplum Blouse,Cotton,Black,M,Spring,Business Casual,26.4,0,4.7,1,192,161,0.09
WC000136,Activewear,Track Pants,Nylon,Gray,L,Autumn,Sporty,31.28,0,4.1,1,0,13,0.11
WC000137,Tops,Crop Top,Cotton Blend,Gray,L,Autumn,Minimalist,18.74,0,3.8,3,5,55,0.06
WC000138,Tops,Crop Top,Cotton Blend,Beige,L,Winter,Casual,32.65,0,4.3,10,32,149,0.1
WC000139,Coats,Wool Coat,Cotton,Black,M,Winter,Business Casual,68.2,0,4.8,1,29,19,0.07
WC000140,Jeans,Wide-Leg Jeans,Denim,Beige,XS,Winter,Business Casual,83.66,15,4.5,6,27,173,0.15
WC000141,Cardigans,Button-up Cardigan,Cotton Blend,Yellow,S,Winter,Minimalist,88.78,0,0.0,0,35,10,0.11
WC000142,Jumpsuits,Romper,Polyester Blend,White,M,Autumn,Minimalist,89.73,0,5.0,2,5,40,0.11
WC000143,Skirts,Mini Skirt,Cotton Blend,Black,XS,Winter,Bohemian,26.77,20,4.3,1,2,110,0.08
WC000144,Blouses,Wrap Blouse,Cotton,White,L,Summer,Business Casual,51.07,0,0.0,0,94,24,0.1
WC000145,Trousers,Cargo Pants,Cotton,White,L,Spring,Minimalist,82.93,0,4.5,4,27,53,0.07
WC000146,T-Shirts,Graphic T-Shirt,Cotton,Navy,XXL,Spring,Casual,20.04,0,3.8,8,76,358,0.1
WC000147,Dresses,Midi Dress,Polyester,Navy,L,Spring,Casual,91.29,0,3.5,1,43,16,0.11
WC000148,Loungewear,Sleep Shirt,Viscose,Navy,XS,Winter,Casual,37.8,40,2.9,4,82,54,0.17
WC000149,T-Shirts,V-Neck T-Shirt,Cotton,Green,XL,All Season,Casual,17.49,0,4.2,5,95,51,0.09
WC000150,Dresses,Wrap Dress,Polyester,Beige,XS,All Season,Business Casual,49.56,0,0.0,0,17,18,0.12
WC000151,Blouses,Button-Up Blouse,Polyester,Brown,M,Summer,Formal,62.08,0,0.0,0,89,33,0.07
WC000152,Trousers,Straight Trousers,Polyester Blend,Green,S,All Season,Minimalist,88.03,0,4.9,2,7,29,0.09
WC000153,Tops,Long Sleeve Top,Cotton Blend,Black,XS,Winter,Formal,25.55,0,3.4,45,100,468,0.17
WC000154,Cardigans,Cropped Cardigan,Cotton Blend,Navy,M,Summer,Elegant,95.63,0,0.0,0,49,12,0.07
WC000155,Tops,Bodysuit,Viscose,Gray,S,Autumn,Casual,28.07,10,4.6,17,0,198,0.11
WC000156,Dresses,Maxi Dress,Viscose,Black,S,Spring,Bohemian,52.72,20,3.4,17,28,241,0.17
WC000157,Dresses,Shirt Dress,Polyester,Red,XL,Spring,Streetwear,110.74,0,4.6,7,0,83,0.13
WC000158,Jeans,Straight Jeans,Denim,Navy,M,Autumn,Bohemian,31.26,0,3.8,9,69,97,0.16
WC000159,Cardigans,Cropped Cardigan,Cotton Blend,White,L,Winter,Business Casual,82.37,0,5.0,1,0,94,0.09
WC000160,Blouses,Peplum Blouse,Cotton,White,L,Spring,Minimalist,56.12,25,5.0,25,8,283,0.08
WC000161,T-Shirts,Basic T-Shirt,Cotton,White,L,Summer,Casual,27.15,0,3.3,3,0,49,0.18
WC000162,Dresses,Mini Dress,Cotton,Gray,XS,Winter,Elegant,128.87,10,4.8,3,39,48,0.15
WC000163,Tops,Long Sleeve Top,Cotton,White,L,Autumn,Elegant,27.46,0,4.2,3,20,92,0.06
WC000164,Dresses,Bodycon Dress,Cotton,Black,S,Spring,Casual,63.13,0,3.5,3,9,107,0.1
WC000165,Dresses,Bodycon Dress,Cotton Blend,Pink,S,All Season,Minimalist,87.2,5,4.1,4,3,100,0.11
WC000166,Jeans,Wide-Leg Jeans,Denim,Black,L,Autumn,Business Casual,39.2,0,0.0,0,95,6,0.14
WC000167,Blouses,Button-Up Blouse,Cotton Blend,Yellow,L,Spring,Minimalist,20.08,15,0.0,0,1,3,0.08
WC000168,Jackets,Denim Jacket,Denim,Beige,S,Spring,Streetwear,52.46,0,4.1,8,45,117,0.1
WC000169,Dresses,Midi Dress,Cotton,Black,S,Autumn,Bohemian,93.79,15,4.3,42,68,428,0.14
WC000170,Trousers,Cargo Pants,Linen,Black,S,Summer,Minimalist,66.7,20,3.8,4,20,50,0.1
WC000171,Loungewear,Lounge Set,Polyester,Red,L,Winter,Casual,48.96,20,4.0,3,28,57,0.11
WC000172,Dresses,Mini Dress,Polyester,Black,XS,Winter,Formal,112.43,0,3.8,1,45,43,0.13
WC000173,Tops,Bodysuit,Cotton,Black,S,Summer,Minimalist,21.85,40,0.0,0,9,14,0.09
WC000174,Jeans,Straight Jeans,Denim,Navy,S,All Season,Formal,45.76,40,4.3,3,70,88,0.12
WC000175,Sets,Matching Suit,Polyester,White,M,All Season,Casual,76.53,5,4.1,17,14,221,0.07
WC000176,Dresses,Bodycon Dress,Viscose,White,L,Winter,Business Casual,46.52,10,4.4,37,9,378,0.15
WC000177,Blouses,Wrap Blouse,Linen,Blue,S,Summer,Business Casual,44.88,5,0.0,0,133,32,0.11
WC000178,Skirts,Pleated Skirt,Cotton,Gray,M,All Season,Casual,54.04,0,4.6,1,56,56,0.08
WC000179,Skirts,Maxi Skirt,Cotton,Red,M,Autumn,Casual,38.11,15,4.8,2,36,52,0.12
WC000180,Trousers,Cargo Pants,Cotton,Green,M,All Season,Minimalist,48.71,0,3.7,12,0,161,0.12
WC000181,Skirts,Pleated Skirt,Cotton,Beige,L,Autumn,Elegant,81.45,0,0.0,0,53,24,0.11
WC000182,Tops,Bodysuit,Viscose,Pink,L,Spring,Bohemian,36.0,0,3.6,9,0,197,0.08
WC000183,Sweaters,Turtleneck,Polyester Blend,Brown,XS,Autumn,Business Casual,81.48,15,3.9,5,26,270,0.11
WC000184,Jackets,Bomber Jacket,Leather,White,L,All Season,Business Casual,83.89,0,4.3,8,0,140,0.08
WC000185,Trousers,Wide-Leg Trousers,Cotton,Green,M,Spring,Formal,95.14,10,2.7,24,10,364,0.14
WC000186,Sweaters,Oversized Sweater,Wool,Red,S,Winter,Elegant,113.61,20,3.8,73,4,975,0.11
WC000187,T-Shirts,Basic T-Shirt,Cotton Blend,Black,L,Summer,Casual,17.68,15,0.0,0,4,5,0.08
WC000188,Activewear,Athletic Top,Polyester,Brown,XL,Autumn,Sporty,74.6,0,5.0,2,40,49,0.06
WC000189,Tops,Tank Top,Cotton Blend,Black,S,Autumn,Casual,35.28,30,3.2,3,301,53,0.15
WC000190,Jeans,Bootcut Jeans,Denim,Navy,S,Autumn,Bohemian,30.2,25,3.4,4,50,93,0.22
WC000191,T-Shirts,Basic T-Shirt,Cotton,Gray,L,Summer,Casual,15.14,15,4.9,1,20,16,0.07
WC000192,Loungewear,Sleep Shirt,Polyester,Black,S,Summer,Casual,47.19,0,0.0,0,72,10,0.13
WC000193,Dresses,Maxi Dress,Polyester,Navy,M,All Season,Business Casual,117.76,0,4.0,8,12,178,0.11
WC000194,Activewear,Sports Bra,Nylon,Red,L,Summer,Sporty,30.9,0,4.9,22,10,571,0.1
WC000195,Sweaters,Knit Sweater,Cotton,Yellow,L,Winter,Business Casual,78.93,10,0.0,0,9,16,0.12
WC000196,T-Shirts,Graphic T-Shirt,Cotton,Navy,L,Summer,Casual,13.33,40,4.3,7,3,78,0.08
WC000197,Tops,Crop Top,Cotton Blend,Pink,M,Autumn,Business Casual,44.45,5,4.5,29,16,308,0.1
WC000198,Dresses,Bodycon Dress,Cotton,Black,XS,Winter,Casual,74.77,0,4.6,1,27,57,0.11
WC000199,Blouses,Wrap Blouse,Cotton Blend,Navy,S,Autumn,Formal,65.47,0,4.6,1,211,85,0.09
WC000200,Jackets,Denim Jacket,Leather,Yellow,XXL,All Season,Business Casual,114.85,0,4.2,4,0,187,0.06
WC000201,Activewear,Leggings,Polyester Blend,Brown,XXL,All Season,Sporty,77.17,40,4.0,29,14,368,0.09
WC000202,T-Shirts,Basic T-Shirt,Cotton Blend,Navy,XS,Summer,Casual,20.21,30,3.4,5,15,182,0.17
WC000203,Dresses,Shirt Dress,Cotton,Beige,XL,All Season,Formal,144.17,0,3.3,551,40,10340,0.16
WC000204,Dresses,Maxi Dress,Cotton,Blue,XXL,All Season,Bohemian,87.38,0,4.6,1,6,16,0.12
WC000205,Trousers,Tailored Trousers,Polyester,Blue,M,All Season,Minimalist,38.63,0,3.9,38,87,459,0.07
WC000206,Blouses,Peplum Blouse,Linen,Black,L,Summer,Formal,79.53,5,4.0,32,16,382,0.11
WC000207,Jackets,Bomber Jacket,Denim,Navy,XS,Autumn,Streetwear,48.94,0,2.7,2,144,153,0.14
WC000208,Blouses,Peplum Blouse,Cotton Blend,Black,S,Winter,Formal,59.12,10,3.9,35,90,554,0.08
WC000209,Blouses,Button-Up Blouse,Polyester,Brown,L,All Season,Formal,52.35,15,3.7,5,7,71,0.1
WC000210,Sets,Skirt Set,Polyester,Beige,XL,Spring,Business Casual,91.93,0,5.0,47,108,1089,0.11
WC000211,T-Shirts,V-Neck T-Shirt,Cotton Blend,Black,S,All Season,Casual,19.93,0,3.5,3,5,142,0.11
WC000212,Trousers,Tailored Trousers,Polyester,Beige,S,All Season,Formal,37.16,20,4.0,6,74,96,0.1
WC000213,Skirts,Midi Skirt,Linen,Yellow,XS,Summer,Business Casual,50.73,0,4.3,5,39,72,0.12
WC000214,Skirts,Pleated Skirt,Cotton,Blue,M,Autumn,Business Casual,20.61,15,3.8,2,14,69,0.1
WC000215,Jeans,Skinny Jeans,Denim,Blue,S,Spring,Elegant,43.05,0,0.0,0,19,25,0.15
WC000216,T-Shirts,V-Neck T-Shirt,Cotton,Beige,L,Summer,Casual,18.39,0,3.4,3,141,75,0.15
WC000217,T-Shirts,Basic T-Shirt,Cotton,White,M,Summer,Casual,25.93,5,4.7,4,46,64,0.1
WC000218,Tops,Long Sleeve Top,Viscose,White,XS,Winter,Business Casual,33.71,10,4.7,48,49,1424,0.08
WC000219,Blouses,Wrap Blouse,Cotton Blend,Brown,S,Summer,Business Casual,57.79,15,0.0,0,9,10,0.11
WC000220,Coats,Long Coat,Cotton,Beige,XL,Winter,Business Casual,194.06,0,4.5,2,150,30,0.06
WC000221,Trousers,Cargo Pants,Cotton Blend,Black,L,All Season,Business Casual,60.76,0,4.5,76,9,1041,0.12
WC000222,Dresses,Wrap Dress,Cotton,White,S,All Season,Business Casual,54.76,0,4.0,45,44,704,0.17
WC000223,Activewear,Sports Bra,Nylon,Navy,S,Autumn,Sporty,57.01,15,5.0,1,18,78,0.1
WC000224,Skirts,Mini Skirt,Cotton Blend,Brown,XL,Summer,Business Casual,42.72,10,3.6,10,23,207,0.13
WC000225,Dresses,Midi Dress,Linen,Red,M,Summer,Elegant,110.76,0,4.2,3,57,179,0.15
WC000226,Blouses,Wrap Blouse,Cotton,Navy,L,Winter,Business Casual,49.87,15,5.0,3,0,44,0.09
WC000227,Sweaters,Knit Sweater,Wool,Beige,L,Autumn,Streetwear,44.9,20,4.9,6,12,153,0.08
WC000228,Loungewear,Lounge Set,Linen,Navy,S,All Season,Casual,61.92,20,4.6,6,37,122,0.11
WC000229,Tops,Crop Top,Cotton,Navy,M,All Season,Formal,37.15,20,3.1,4,21,114,0.18
WC000230,Tops,Long Sleeve Top,Cotton,White,M,Winter,Business Casual,22.36,0,0.0,0,128,6,0.1
WC000231,Trousers,Straight Trousers,Cotton Blend,Gray,M,All Season,Business Casual,60.01,0,4.5,2,4,23,0.07
WC000232,Jeans,Bootcut Jeans,Cotton Blend,Navy,S,Summer,Casual,77.52,20,4.5,174,77,1827,0.13
WC000233,Loungewear,Sleep Shirt,Viscose,White,XS,Winter,Casual,54.86,20,4.0,25,5,484,0.1
WC000234,Skirts,Maxi Skirt,Cotton Blend,Green,M,All Season,Elegant,47.27,20,4.0,9,31,108,0.06
